prod_id,summary,num_sents
B0002VQDVM,"I find myself saying ""What?"" And I had a reason to be. Its small and light with a nice look and color. When you do that, the phone stops dialing out after an hour or so. - T9 is not the default for text input (why??!) I'd have to say that i'm in love with this phone. The softkeys are nice. As for the features, the phone is incredible. I purchased my brand new samsung e317 on ebay.",12
B0009MYS9S,"Good range and volume. Mine broke first time. Took forever to get replacements. Just like the others wrote, mine broke in about three weeks. My son also noticed similar failure after I pointed out the problem. It is only a matter of time. I recently purchased the bad design flawed heaphones October 2005. This one is consistent, comfortable and very reliable.",9
B000BI4KKM,I have really enjoyed this headset. Pairs up with my Nolia phone quickly and effortlessly. Audio quality in both directions seems fine. One of my gripes is that it doesn't fit in the ear very well. Nothing special. Great for entry level headset. This is my first Bluetooth Headset. With the RAZR it always disconnects in middle of transfer. I bought two of these headsets when I saw the deep discount. Now I know why the discount is so deep. I would not recommend it.,12
B000CQFMEQ,"It has absoulutely no range. One I purchased at a retail Cingular store for about $80. It says it's good for 33 feet; Tried many different calls. If I do, it is very scratchy and garbled. Needless to say Motorola droped the ball on this product. This was a great purchase. Nothing to complain about.",8
B000FYU4SO,"Before this phone, I had only LG, the latest being the vx6000. Why can't I make it stop? With the reccomended bluetooth it is even worse. But until the battery issue is sorted it is hopeless. - Good Windows functionality. I use it more for business than personal use. (1) The battery power sucks. Very frustrating as I spent hours on trying to like this phone. Very frustrating. The phone is not good. I have had my Q for about 2 weeks now. I would like a touch screen, but I don't miss it. That was the other phone I considered. Finally, the Q's battery life was terrible.",15
B000HDZA28,Everything seems to be included in the package. I will be anxious to use the phone once I am in Europe. Delivery was very quick (less than 24 hours). I didn't know they made cell phones so small. Return was also easy; It was easy to add minutes.,6
B000I8FWMK,"The case fits perfectly and seems to be durable and sturdy. Would recommend. This case fits great! not good for kids
didnt expect the edges to be quite thin.",5
B000JCDUFG,"Thanks Denver Post. Not once, but twice in two weeks. I give the Denver Post 3 stars because there is no Weather (really? Reading it is so easy....love saving the trees! So easy to hold.",10
B000M92GLK,"I can't believe I was able to buy it for such a low price! Very good clarity, so much so that you have to turn the volume down. This headset delivers everything as advertised by Plantronics. I purchased this model because it is compatible with the iPhone. In fact I actually had to turn down the volume a bit. Overall a very clean design. The DC charging station/dock for the car is great. Call volume was low and the amount of static
was unbearable. I really expected more from Plantronics.",10
B000Q5J2M6,"Well, it's not working the way it's intended. This is the first bluetooth device I have tried to own. Those are my issues with it. Amazaon quickly replaced it and the second unit works well. Even comes with a carrying case! they just came apart at the seam. My 700 LX arrived and would not take a charge.",8
B000SRGF2W,"The characters just seemed too vague. This was a fun read, but don't expect anything other than that. It is extremely smutty and the use of fowl language is horrible. This was the case in this novel. Not too realistic. But if you are looking for an easy beach read, this one is for you!",7
B000WCWUWM,"Certainly not all gay men, or even all ""bottoms."" Highly recommended. Dev is a strong werewolf who arrives to Asheville for business. It was pretty face paced. It jumped right into the action and didn't slow down. Needless to say but there will be a change in leadership. This story's not about that. I read the first story in this series and thoroughly enjoyed it. I did not buy Devlin being so amused by Laine's antics. I thought it was a weak plot point.",11
B0018969BG,"Don't buy the H500, go for the H700. My end sounds fine. Having a cellphone up to your ear is not acceptable at post. This bluetooth lays against your ear and has a nice speaker. I used this maybe one day and ended up buying something else. You can't beat the price! I was very excited to find this bluetooth. I haven't been able to find this style anywhere. Very pleased with the fast shipping.",10
B001AS6J24,I'm pretty impressed. It's acutally hard to take off the phone. For the price it was a good deal. I love this cover. I cannot say enough about this cover. It just needs improved durability. Sorry it took so long.,8
B001B4AAJ0,"Appears to be a nice slim case. I like this case, but it's not overwhelming. Positives- Its a great looking case. It also dose not even fit right. Not real happy about that. Make sure you put the case on correctly! One problem...The finish on the back of my case started peeling. Great Customer Service.",12
B001BB242E,"OK you live and learn. I was disgusted! Negative 5 stars in my book. I like the charging module. Great product, even better price and fast easy delivery. I also cannot get a good fit with the earpiece.",7
B001E42QBW,"Product does extend the life of the battery significantly. It at least doubles the time I can go without charging my iphone. I hope it can be improved- physically, it seems very well designed. then, this device would be a 5 star. This was a coincident. I haven't had any rubbers issues. This thing is GREAT.",8
B001HVWUDG,"Distorted audio out, buzzing on recieve on I Phone and LG. 925 and 920 are very good. Unfortunately, I'm not very happy with this one. This product does not work with a higher pitched voice. Those called have reported that the sound quality is good. How is that supposed to work? Have it on opposite sides of your body and the static is deafening.",8
B001MYLTDA,"Stored a few pics but never used pic. Actually ditched my last phone because I love this one so much. This has those features and they work great. Camera is also nice. If you can get around that though, It think you'll like it. Powerful phone but somewhat problematic. Denied my rebate even though everything was in order. i like that its flip and qwerty key board. It does have a good web expereince, but alas I miss having a phone. this device is less of a phone and more of a very small computer. Multiple touches needed to execute commands
3.",12
B001N48GGC,"Doesn't sound like the original version of the song. Vocals are close. Wanted to have the follow up to Space Oddity. It's a good song, but I am not liking the singer on this one.",5
B001NZ0WP4,This is dr dre's worst album ever. EVERYONE REALLY HATED THIS CD. RC's cover of the song Fame is good and King T's verse is excellent. It's well produced and has variety.,5
B001PKTRVM,"i'm still trying to resolve. I discussed with LG and they were no help at all. All replacement phones are refurbs. Once again ATT warranty services was very helpful. If you need them, call 1-800-801-1101. I purchased (2) 2gb Micro SD cards to extend the memory. My wife's phone worked fine with it. That's what you get when you purchase T-Mobile Dash Black. The phone is great with a lot of features. I'm very happy with this purchase. Any USB 2.0 Cable, A Male to Micro B Male Cable should work.",13
B002DRMPMY,"Cheap has a very negative connotation. I'm happy to say my worries were unfounded. I would recommend this for any Palm Pre owner. In all fairness, I have only used the car charger part of this trio. Overall very happy with it.",6
B002EOTJFM,"It seems to be made out of PC. This was really disappointing. And this thing is CHEAP. I bought it to go over a Gelaskin on my 3GS. It's just not protection, except from scratches, I'd think.",6
B002JWJYX6,was hoping for a better product. This item was inexpensive and seemed to look ok. Server the purpose and felt nice. This is a cute case at a good price; It is very very difficult to prop open this case. Great quality product.,6
B002QIQ76K,This is a great case. I had a little trouble installing the screen's protective shield. I like the look very much but the front is not very usable. What's up with that?! Now the case protects this area nicely. DO NOT BUY THIS CASE! I fits perfectly. Everytime i opened the phone it would come off. It shakes a lot. I would have appreciated knowing that upfront.,12
B002S5R4IG,Very nice people and great to deal with! I didn't bother trying to return it since it was so inexpensive. I already have an iPod touch with a remote mic ear phone. Only works with music. So far it's working pretty good.,6
B002V6A2PE,"It is simply a hard plastic case with a soft, RUBBER-LIKE coating. Case initially fits nicely enough and looks great on the phone. otherwise, good product
It's been recieved by a friend in miami. Lo recomiendo 100 %... Venezuela",7
B002WC7RKA,I've had my Droid for 8 months. I don't think they could have done much more. This was a nice cover...while it lasted. The clasps broke on one side. Very pleased with this case. I have had several Body Glove brand phone cases in the past. Don't buy this case. I expected more. It does a great job of protecting my phone.,13
B0036FTZZW,"I loved this book. I like this book because the topic interesting. Oh sorry, got carried away...
I just finished reading the book. Great job Mr. Shea! If you like legal thrillers, this book is for you!",10
B003GLIDRM,It doesn't work. Now I too have to see how well the return policy is. But you should be able to pry it off your old one. I would definitely purchase Iphone parts from this store. Very glad I purchased it. This completely fixed the problem. The replacement part came quickly and installed like the original.,8
B003SU4ZRS,"This is not a good product. It worked great! 1 finger prints problem
2. installation was fairly easy. So buy it for the main screen protector and the back one. The 2nd time around I love it and it was pretty easy to put on. It is a little difficult to install correctly.",8
B003UO175U,Maybe it's my own fault. The ad said three protectors only got one. I threw all away. It's a great buy & the quality is good. I think the plastic may be to thick.,6
