prod_id,summary
B0002VQDVM,"i have used the same battery as a mixer for my old one. i have used the phone for about 2 weeks before i have to use the phone to make it work. it is a very good design, but the device is very flimsy. i have to use a new phone to use the device. i do not know how to use this software, but the first one i tried to clean up all of the colors. i have ordered these to a different display and have not had any problems with it. i would recommend this product to anyone who wants a good product."
B0009MYS9S,i have used this to use a software that was not working. i was very disappointed. the only reason i gave it 4 stars is because it is not a very heavy duty design. the metal is not very bright. the reason i bought the two stars is that it is a bit flimsy. i have to return it and get a better product. i would not recommend this to anyone.
B000BI4KKM,i do not know what happened to this program. i bought it for my daughter who has a problem with the camera. it is a bit too small for the metal. i would recommend this to anyone who is looking for a very good price. very happy with the purchase. it is a great product.
B000CQFMEQ,"i bought this for my gps phone and it is very easy to use. the only thing i have to say is that the software is not very sturdy and does not fit the battery in the world. i wish the program was low and the sound was good. i find that it is a small, but a bit pricey for the product. i would recommend this to anyone who is looking for something more expensive to watch on this side of the house."
B000FYU4SO,"i have been using this software for about 5 months now and the first time i used it is not very easy. the sound is great, it is very hard to use, but it is still good. it is very easy to use and have a good tool. the only thing i have to say is that the battery is not a tit keyboard. it is not as easy as i would have hoped. it is a very good tool to use as a phone for a gps unit. i would definitely recommend this product if you are looking for a replacement"
B000HDZA28,"worked well for the first time and i was not able to find the proper piece of paper. i received a replacement and was able to return the phone. i was told it was a screw, but it does not fit in the picture. i would recommend this product to anyone."
B000I8FWMK,this is not a huge deal for a big box but it is still not a big deal. i really like it and i am happy with it.
B000JCDUFG,i was looking for a new one. i found that the first one was not on the website and i was not able to get it to work with my gps. i do not know if it is the fact that i would have to use it. but these are a great product.
B000M92GLK,"i cannot say anything about the quality of this product. i have not used the magnetic handles, but they are still working on the computer. i do not know how to use it and i have not read the other reviews. it is a very good tool for the price. i have been using this for over a year now and will continue to use it again."
B000Q5J2M6,"i am a fan of the original version of this set. it was a lot of fun. i was very disappointed with this unit. it was not as good as i thought it would be. the only thing i would say is that the problem is that the metal is not a piece of metal holder. the description is not user friendly, but the handle is very small and the metal rod is useless. i have not used it yet, but it was a good purchase."
B000SRGF2W,"i was looking for a new book for my dad, and I am not sure how to describe this book. it is a great product. the book is very well written and is a must have. the book is very good and the author is a good tool. if you are looking for something to do, you will love it. it is a great book for children who love to learn to learn a lot of patience and learn how to learn how to get a good book. this is a great gift for a friend or a friend."
B000WCWUWM,"i am a fan of this book. it is a bit of a pain to see, but the story is a little bit more complex than the original, but it is not as bright as some of the other reviewers. the book is a great album. i really like the fact that they have a lot of features for the price range. it is a little difficult to read, but it is a must have for me. i am sure it is a great book."
B0018969BG,"i have been using this for a couple weeks now and it was so much better. this is a very good product. i have been using it for a few months and it is just what i needed. i would recommend this product to anyone who wants to see my new pc. if you are going to get a new set, this is a good deal."
B001AS6J24,the only thing i wish i could have had a little more time for the phone. i have a few other pieces that are not included in the price and i am happy with the quality of it. i would recommend this to anyone who is looking for a replacement and a nice product.
B001B4AAJ0,"the product is not as strong as i expected. i have a large camera, and it is a big deal. i would have given this 5 stars if it had a good price for the product. however, it is a complete waste of money and it is a bit of a hassle. i had to return it to amazon. i did not expect a phone at all. i would have given it five stars if it was a better product."
B001BB242E,"i bought this for my daughter. it was a gift for my daughter and was able to use the camera on the computer. it will not fit into a computer. the only thing i would give it a negative rating would be to have the same problem, but after a few weeks of use, it has been a great product for the price. i would recommend this to anyone who wants to know how to use it."
B001E42QBW,"this product works fine, but i have had it for almost 2 months now. the software is very flimsy, i have to use them on files for a month and had no power cord. i have purchased the software for the same company, which is a good feature, but the software is not very good at all. the software is not very useful for the price. the only reason i got this one is because it is a very very thin piece of junk."
B001HVWUDG,"i purchased this product for my first time, it is a very difficult to use. the only reason i am not giving this one star is because the metal is a little flimsy. i would not recommend the clamp to anyone who is looking for an alternative to the original version. if you have a problem with a new computer, it is not a bad seat."
