prod_id,summary,num_sents,word_count
B0002VQDVM,"It seems strange that Samsung would try so hard to make such a nice phone that includes great features (picture caller ID, dual LCD screens, intuitive menu,etc), and then forget the most important part - the phone.
The reception is great (at least that's what the phone indicates), but the sound quality is horrible.
It has some great features- it's very small, great display, the numbers are very BIG when you type them in on the screen...but the sound quality is awful.",7,82
B0009MYS9S,"2nd replacement set cracked after about two weeks.
The sound is quite good and the wireless freedom is brilliant, which is why they receive two stars from me, but the breaking and tightness is annoying.
Mine cracked within a week, and yes I knew about the problem beforehand and was very careful.
They work great, they are comfortable, the charge lasts a long time, etc.
These headphones broke in the first 3 weeks.",6,73
B000BI4KKM,"Good design, especially the earpiece but sometimes the audio quality is terrible.
But as an introduction into the bluetooth headsets it's great.
This is a good product for the price.
It also disconnects from my RAZR sometimes, but I don't know if it's the headset or the phone.
The physical configuration of this headset is quite good and fits almost any ear comfortably.",6,63
B000CQFMEQ,"The range on this headset is pretty good, I sat the phone on the other side of the house, and walked to the furthest corner (which is well over 30-33 feet), and I could still hear everything (keeping in mind this was a 100% charge), and they could hear me.",2,50
B000FYU4SO,"If you don't mind HUGE lies about battery life and slight underperformance as a pseudo-PDA, then it's a good phone with a few additional capabilities.
(2) Because I have my emailed account synced to the phone, my battery dies even faster.
Now I finally have a phone that will work at my house and the data card is a much better way for me to handle emails.",4,67
B000HDZA28,"I was able to call Italian and American phone numbers easily, but the minutes get eaten up fast when you can't just text instead.
Ordered this to have an emergency phone when I had to travel to Europe for 10 days leaving ailing parents at home.
I had customer service to help me set up the phone and then again to increase my minutes.",4,64
B000I8FWMK,"I like the materials, the texture and light of colors, not shinny, it gives a pretty good style and protection to your tablet.
I would not recommend this case as protection for a tablet.
This case fits great!
i had it on my note an so far its been working great.",5,51
B000JCDUFG,"The Denver Post is a well organized paper that helped me complete my work there easily and effortlessly.
I like the paper but, during the two week trial period, there was a problem receiving it on my Kindle.
I used to have a subscription to the Denver Post when they delivered it outside of the metro area, but living in the mountains meant that one good snowstorm equals no delivery until later on in the day if at all.",4,79
B000M92GLK,"Very good sound quality but people can't seem to hear too well when the car window is down.
The bluetooth itself fit comfortably in my ear, with some adjusting, no problem with sound quality on either end.
I've tried other bluetooth headsets and the biggest problem I've had is not being able to hear others from my car with all the road noise.",4,63
B000Q5J2M6,"The Scalas absolutely have the best sound clarity, and handle wind noise far better than any Motorola I've used.
After evaluating many bluetooth headsets in this price range I choose this one based on features and reviews.
It is smaller than the 500, works just as well, has a few more features like bluetooth 2.0.
this is a great headset it works well comfortable easy to use and the price is right.",6,72
B000SRGF2W,"The characters were great and while it's quite short I thought the author did a good job with the pacing of the book.
I believe the author didn't spend enough time on creating a history for the characters and you are just thrown into what feels like the middle of a book.
This book is so short, I read it on my lunch hour start to finish (after skipping about what felt like 20 pages of smut) Not good...",6,79
B000WCWUWM,"I love  this story an  the author is amazing however I liked the second book better.
I accidentally read the second book in this series first and I have to say that I liked it better.
When the local pack Alpha continues to torment Laine, Dev has to decide what he will do to proctect his new lover/mate.
I liked the plot and most of the characters, though Lainey was annoying after a while",4,74
B0018969BG,"Bought this initially with my Motorola v3m 2 years back - never had any problems with it- my friends couldn't tell if I was talking on the bluetooth or not.
I don't honestly know how I lived without this, I use Skype and often times get tangled in my headset, now its just so easy, works just like my cell phone, but FREE I make all my international calls free, I would HIGHLY advise getting this bluetooth, it literally changed the way I do business.",3,85
B001AS6J24,"Oh well for the price I got a cover that matches the color of my phone pretty darn close at least, maybe I will find one that does not slide until then I continue to chase the phone or leave it in my pocket.
This case might fit the phone nicely, but it isn't painted all the way around.
This case for my new ENV 2 phone is really close to the right color.",4,74
B001B4AAJ0,"Best looking case out there in my opinion and also comes with a clear film to protect the screen
The screen protector is garbage and the case could have been made better to fit the phone.
Since I will need to buy another screen (probably from the Apple store) - maybe the type that sticks to the iphone screen, rather than the hard plastic given with the Griffin, it makes the price of protecting my phone more than I thought when I found this product on amazon.",3,87
B001BB242E,"The stylish design is really cool, and if your background music is at a medium level it will cancel it out but let me make sure you know what noise canceling does, it makes it so when you talk on your bluetooth ex: In your car and the music is playing not too loud, it will cancel out the music and let the person on the other end hear you clearly.",2,71
B001E42QBW,"Since these things do not affect the functionality, it is still worth putting up with them for the extended battery life, but it is disappointing after a short time to have a shabby looking item plugged in to such an awesome phone.
I am also a little unclear when the phone is runnign off the mophie juice pack or the iPhone battery.",3,62
B001HVWUDG,"Then, there are little things here and there where there is brief static sounds, my bluetooth will disconnect itself once in while but that might be my phone, although I haven't had that trouble before, and I personally just don't like the plastic part that holds the bluetooth to the ear.",2,51
B001MYLTDA,"If you are somebody who uses some features rarely, like Web, email, or GPS, there is no need to carry around a big smartphone.
Wouldn't want to use them on here all the time, but for somebody like me who just uses it to phone and text, it works great.
When sending text messages sometimes its a bit slow, but I love the phone.",4,64
B001N48GGC,"Doesn't sound like the original version of the song.
This is not the version of this song that I wanted and it is very flat and boring.
I have the original Peter Schilling german version which is good, but amazon does not appear to have his english version which is what I am looking for.",4,55
B001NZ0WP4,"Simply because the album hardly got any good songs, the only ones worth mention is the intro, eastcoast/westcoast killaz, been there done that and the mel-man track called shi---n on the world.
""East Coast/West Coast Killas"" by Group Therapy consists of four emcees / rappers of killing lyrics of RBX, Krs-One, B-Real & Nas.
this is a fairly good album by Dr. Dre's company Aftermath, and there are some excellent songs on here.",5,73
B001PKTRVM,"The keys became unresponsive and the phone impossible to use after a few months (I could accept calls, but do little else.)  ATT warranty services was very helpful and shipped me a replacement phone.
This phone is for people who hardly tex,its great for taking pictures and making and taking calls.{The pictures come out great,and its very easy to use}Just be carefull using some of the features like games etc..They charge you for everything almost,and if your going to buy this phone,beware of the hidden cost,like 20bucks for texing,and roadside assistence and voicedial.",7,93
B002DRMPMY,"I recently purchased a USB Data Cable + USB Car Charger + USB Home Travel Charger for Sprint Palm Pre Smartphone.
<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/USB-Data-Cable-USB-Car-Charger-USB-Home-Travel-Charger-for-Sprint-Palm-Pre-Smartphone/dp/B002DRMPMY/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">USB Data Cable + USB Car Charger + USB Home Travel Charger for Sprint Palm Pre Smartphone</a>
I thought it was an issue with the USB cord, but I have plugged it into the computer and the wall charger and both cause the phone to start charging immediately.",4,72
B002EOTJFM,"I fell with phone-in-hand and landed screen to the ground, my screen is completely fine and the cover has a bunch of scratches that aren't very noticeable since it is clear.
I'm notorious for dropping my phone so purchasing a durable clear cover was essential when I got my iPhone.
The cover was easy to use and snap on but always snapped off when the phone was dropped.",4,68
B002JWJYX6,"The case is ok, however, the clasp on the bottom broke the first time i tried to put it on...
One by one they would no longer snap in and the case finally broken a few days later.
You get what you pay for, and I would recommend avoiding these type of snap on cases.
This is a cute case at a good price; however, it doesn't fit quite right.",7,70
B002QIQ76K,"The screen protector was a little difficult to make sure it fit properly over the phone, but I was successful.
The case fits quite snug and I am able to open the cover for the USB cord/charger without sliding open the phone.
This is not the case for me as the little cover for the usb connector broke off the day I got it.",4,64
B002S5R4IG,"GTMax Stereo adapter, pictured with a 90 degree angled plug.
I ordered this to listen to the music I store on my phone using my nice Bosse headphones rather than crappy earbuds.
I was actually looking for mini usb to 3.5 mm stereo-plus-mic jack for my Samsung highlight mobile, this product is good for listening music from your mobile which I don't do.",5,63
B002V6A2PE,"I purchased this item believing it would be more flexible than the ""rubber feel"" cases I have purchased in the past, thus giving my phone a bit more impact resistance.
Case initially fits nicely enough and looks great on the phone.
I wanted cheap case to protect my phone while waiting for a replacement Invisi Shield.
Black Rubberized Snap On Protector Case for HTC Touch Pro 2 (CDMA) Verizon & Sprint",4,72
B002WC7RKA,"GREAT BUY FOR ANYONE LOOKING FOR A DROID CASE!!!!!!!!!
I use the belt clip which works well (make sure the tab is seated properly in the case before putting it over the droid).
I have had 2 of the Droid cases and both have broken at the tabs that hold the front cover on.",12,54
B0036FTZZW,"I really enjoyed this book, by an author I'd never read before.
I hate it when a review gives away the story so I'll be careful because this was a really enjoyable read with a great ending and I would have been sad if someone had ""ruined it"" for me.
I personally had never read anything by Charles Shea, but I thought the book was great!",4,66
B003GLIDRM,"I damaged my LCD screen while replacing a broken glass screen on my 3GS, so I ordered this.
I ordered this because my iPhone 3gs LCD was cracked but it still worked.
When I got the new LCD I installed it and now the screen does not work at all.
I damaged the LCD panel trying to replace a broken iPhone screen.
I found this replacement LCD panel on Amazon and ordered it.",6,73
B003SU4ZRS,"I have tons of fingerprints trapped under the screen protector (this is the 3rd product I've bought and have yet to find a good one).
If you buy directly from Wrapsol you know you are getting the newest release of their products.
The back protector works great, the big problem I had was how the side protectors fit...",6,58
B003UO175U,"Totally worth the price, I haven't found one screen protector that doesn't leave any bubbles, I applied the first one to my phone and it left a tiny bubble.
I went to best buy to find a screen protector for my iPhone and all the ones there were priced @ around $20 and up, plus they only had the glossy finish, but I found these online and have them a try, and I love them, plus they come with 3 of them.",3,82
B003VDC4PW,"As I will be looking to trade in my phone in the coming months, I didn't want to spend too much on a new screen protector.
I ordered these screen protectors mostly because they got relatively good reviews and the price was right.
I received the product only to find that the protector only covered the lit area of the screen...it doesnt cover the entire face of the phone.",7,69
B003ZHPWKS,"Don't be fool by this case it look great online but is a cheap plastic that you can fold with your hand and it won't protect your phone
I bought this right before the holidays, and while the case looks really cool, their plastic is not strong enough over the volume control, and this has broken twice.
The phone was protected, which I guess is the point, but the right lower corner of the case broke off.",3,77
B00403MNZ8,"added to my book collection for my kindle and I always have great reading material just at my fingertips from my phone, laptop or tablet
I thoroughly enjoyed ME, MYSELF AND WHY?, so thought this short little prequel would be a fun, entertaining read.
I can understand how it could frustrate others especially the way the crazy blonde talks throughout the chapter but, I love it and can't wait to read the book.",4,73
B0043RTJEY,"I giving it 2 stars because it's pink and looks good on my phone, the back cover is sturdy, and when the front piece of my case broke, I got another sent to me with no hassle.
I drop my phone a lot and am really glad I got this case.
The pink/white case looks great with my white Blackberry Torch.",4,61
B0044MPB2W,"I am a huge klutz and drop my phone all the time and the cover doesn't even come off.
This case is just as pictured and goes on easily but it is thin plastic and feels like it will snap in two when you try to take it off.
It is a very sturdy case that will protect my phone the only thing is the colors are different from the picture.",4,71
B0046SHQG8,"Great headphones for the most part with decent sound quality for the price.
I assumed that such a small headset in this price range would not be good enough for music listening, but this has surpassed my expectations.
Sound quality is awesome and the mic works great.
Sound quality was much better compared to the headphones that came with the phone.
Sound was good but the headset controls are why I bought them, so another set of headphones in the trash.",6,81
B004BB1OLI,"It is rare I give 1 star on a review, but on this purchase the wall charger froze my phone during use,and the rapid car charger doesn't work at all.
The car charger works well as does the additional USB cable.
The charger works at times but not at others, which could be because of the phone not the charger.
Car charger, wall charger and sync cable work perfectly, and the price for all those is really good.",5,78
B004CMIB8K,"Looks great and has a nice snug fit on the phone.
Great buy and I will be looking to purchase more colors in the future.
I wanted something to protect the glass from getting scratched (front and back) while being slim enough to still fit in my pocket and have some grip.
There are millions of case options these days and this one does a great job of protecting the phone when dropped.",5,73
B004EYI02S,"I purchased this Bluetooth maybe a week or two ago and it is not working.
I really do love this bluetooth its easy to set up and not hard to use, the only thing i do not like about it, is the ear piece that i cannot seem to get on right, but other than that it's an awesome piece for my phone",2,63
B004JZFWVO,"This case fits my new verizon iphone like a glove.
The case keeps my iphone safe and very easy to use all buttons on the phone.
When I received the case, I was disappointed to see that it did not come with the advertised screen protection kit.
The case is not at all bulky, the rubber sides have a nice feel, and the pink is very pretty.",5,67
B004LZ576M,"I enjoy true crime books and have read many and yet this one had several evil people I had not heard about and more information about others.
In his introduction the author made slight sense, but it fell apart when I started reading about his first ""evil"" person and I noticed some information that was wrong (30 seconds with google and 2 ivy league college resources), I confirmed it.",3,69
B004MGCD0I,"This case looks cool but it didn't fit my phone correctly and it took about an hour to snap it on and then when i finally got it on and dropped it for the first time....
It was cheap plastic, the picture chipped off withing the first two weeks or so and it did not protect my phone when i accidently dropped it, the screen was cracked...so much for being a shock absorbent product!!",10,74
B004RE2HS8,"The color is more of a neon pink  than is shown in the picture, but It's still a really nice color and it looks good on my white iPhone.
The color is more of a neon pink, with a bit of an orangish tone, than is shown in the picture, but I actually like this better, and it looks really good on my white iPhone.",3,65
B004U349UA,"I loved the twist at the end and can't wait to read the authors other stories.
This first draft of a short story is a good effort for a first-time author, but needs much work before it's ready to be released to the public.
some gray-haired guy reading away on the Kindle - then the author does a complete 180 with a great ending I didn't see coming.",4,68
B004VMZZ3K,"I tried plugging in an AT&T SIM, but getting a message 'Phone Freeze'.
This cell phone worked well except for one major feature that I really needed.
I even called AT&T and to my surprise, the lady I talked to said that my sim card should work in any phone.
Wish it had worked, the other features looked like it would be a fun phone to have.",5,67
B004Z29550,"This case did not fit properly and thus kept coming off of the phone constantly, to the point that I cannot use it.
happy with purchase for christmas present fits well looks good protects phone well and fast delivery will probably order another one in a different colour
I got two case covers for my phone a purple and a red one.
High quality case for a good price.",4,69
B004ZGH062,"So far the phone is working well but if I need another phone I will not be ordering it through Just Cellular, and I would advise others not to as well
so as far as phones go it is a great buy for the money but only if you want a full data package.
Good phone, everything was as expected-new, excellent condition-no issues-great phone for the price.",3,67
B004ZS9ZP4,"Installation is a snap.<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Samsung-Infuse-4G-Accessory-Night-Blossoming-Flower-Vines-Protective-Hard-Case-Cover-Design-AT-T/dp/B004ZS9ZP4/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Samsung Infuse 4G Accessory - Night Blossoming Flower & Vines Protective Hard Case Cover Design AT&T</a>
The case didn't even fit my phone!!
The bottom part of the case fit into the phone just fine but when I tried to put the top part on, it seemed like it was too small.",6,58
B0052CHOS2,"Case fits great, no trouble getting it on, keyboard slide out like it was build onto the phone.
Quality could be a bit better and as some others have said, could use a light in the keyboard.
She loves this item, it works great for her and is much easier for her to use.
This keyboard and case seem to work well on the iPhone 4S.",5,66
B0053O8L6I,"I love the bright vibrant color orange and was somewhat disappointed when I opened the package to see the cover looked slightly red in low light.
I thought the color would be more of the burnt orange look rather than the bright orange I received but it will work
When I first bought my phone, Incredible 2, because I'm very clumsy, I bought the ugly looking black case for over $25 which didn't last no more than 3 months.",3,79
B005441EVQ,"It worked as advertised quite well, doubling my battery life and allowing me to spend a whole day without having to plug the phone in.
Not only does it give me enough battery life to last the whole day (like carrying two batteries), but the rubber case is very comfortable, not too thick, and does a good job of protecting my phone.
This case literally almost doubles the thickness of the phone and makes it VERY BULKY.",4,77
B0055AWHP6,"Very good primer for anyone wanting to learn how to speak and understand Korean.
If you want a tool where you can learn some words and expressions, this is your book, but do not count on any methodology to understand etymologies, neither to understand korean in such way you could create your own phrases.
This book does not have the characters, just the Korean words written in English letters.
I speak some Korean and romanization is NOT a good way to learn the language.",5,84
B0055BKII8,"The cover fits my phone so nicely and its so easy to insert it on my iphone.
This iphone case looks great and is true to the picture.
I also ordered another case&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Snap-on-Protector-Hard-Case-Image-Cover-Artistic-Purple-Flowers-Design-for-Apple-iPhone-4-4S/dp/B003X5OBYU/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Snap-on Protector Hard Case Image Cover ""Artistic Purple Flowers"" Design"" for Apple iPhone 4 & 4S</a>&nbsp;from Amazon which has smooth vinyl feel and I like the feel of that comparative to this Chinese Fashion Hard Back case.
It's nice to look at, but the case broke around the volume buttons the first time the phone dropped.",6,91
B0055S1U1K,"i hate this case because it doesn't protect the phone at all not even a little and it feels like card board and it doesn't sit even on the phone so it is lopsided.
This is a super cute case I like it a lot especially if your a girl who loves pink, fits my iPhone 4 perfectly and it's easy to take off",2,64
B0057BE9PO,"Not the most robust phone, and battery life isn't fantastic, but it's easy to use, and I haven't had any problems with it.
I replaced my Motorola i290 with the Theory thinking that I was getting a better phone.
i bought this phone and i just love it, i needed a longer lasting battery, so i contacted Motorola
I love it and please with my purchase of Motorola Theory Prepaid Phone (Boost Mobile).I will recommend this product to others.",5,79
B005AMUTJ0,"Good riddles but old language, I really enjoyed reading this and showing it off to May friends they got stumped also!
This book has made me think more when I am not reading it.
Great reading if you enjoy
Definitely worth reading so enjoy it.
I would recommend that you share this book with your family and friends, so you can give them something to think about",4,67
B005BA72GO,"Purchased a different phone from Amazon.com (not through, but from!) less than 1 year ago with an ""International Warranty.""  LG USA claims this warranty is worthless.
hi, i did buy a phone at ( BLUTEKUSA.COM, INC ) AND I HAVE PROBLEMS wiht my phone, don't read the sim card, and i NEED the document where said about the International Warranty, the advertising said that i have a  International Warranty, so i need find  the way to can get it.",7,79
B005BINK4Y,"All of my apps run smoothly, everything is incredibly easy to use, and best of all, IT ACTUALLY MAKES PHONE CALLS!!!!
I'm not sure what this update is that is supposed to help battery life, but right now I have been so happy with its functionality that I have no problem charging it every day.
Screen is giant, 3d is cool, pics and video are clear, but if you use your phone for an hour, you'll be at %20 or less battery.",7,82
B005CERU0M,"Otherwise these are great little lens that can enhance your picture taking with a phone.
These lenses might fit some phone, but not the iphone4...stick on adapter covers the flash and may or may not stick...the smaller lens may have some merit.
The lenses look fun, but they are very cheaply made, the rings don't stick well, and you also have to turn your flash off in order get a picture that is not destroyed by the flash.",10,78
B005DFEFDU,"I read about 5 chapters of this book and then stopped it was not what I thought it would be that is for sure - sadly I would NOT recommend it to anyone at all :(
This was a fun book to read.
The story kept me interested all the way to the end.
I have to admit that I'm speed-reading my way through the Pitkirtly mysteries and enjoying every one of them to the hilt.",4,76
B005DMMEMM,"This is the first Virginia Henley story I have ever read and it was a disappointment.
Still I have been a fan of Virginia Henley for many many years and will continue to read her books!
I haven't read a Virginia Henley novel in quite a while because she uses the same style that becomes boring and a turn off with her overuse of abusive language.
I usually either completely love or utterly deplore books by Virginia Henley.",5,78
B005I0GXO4,"Started out as a good read but as others have noted, drifted further and further into the  ill-thought out female-sex crazed plot line.
So, if you like a lot of what become quite boring sex scenes, buy this book.
I agree with most reviewers that the sex scenes were way overdone.
The Author is just using his Fllet academy story as a hook for ALL the sex scenes.",5,68
B005ISQ7JM,"The points made are valid and I agree with them but I was hoping to glean more information out of the book than a simple HTML5 is better and here are the concepts and theory as to why its better.
It may be worth the time to download/read to some people but if you're a web developer by trade then this book is probably a waste of time.",3,68
B005JPT86S,"There was not much to this list; spent better money on a full-color book that I could hold in my hand.
I found little useful in this very very very small book.
I needed to purchase another travel book on Hawaii which was a great improvement
Not very informative for passengers on a cruise ship looking for ""things to do"" in a short period of time.",4,66
B005JYUWVY,"Fox and Lee leap from the pages of this short story in such a way that you are instantly hooked and rooting for both of them!
It's like a book missing details and shoved in a chapter's worth of reading.
I liked the characters  and plot but was a bit short for me.
Tag Team is short,  and  steamy, but wafting with goodness.",5,63
