category,prod_id,rating,polarity,review,review_len,review_id
All_Beauty,B005U5KU46,5.0,positive,these are very thin pull off easily without residue rare the only odd thing about these is that on the crease it actually had cut out slits along it so technically a person could sweat through those slit openings on the crease of their jacket / shirts,45,0
All_Beauty,B005U5KU46,1.0,negative,sweat went right thought within almost 2 hrs of wearing it not the best,14,1
All_Beauty,B005U5KU46,2.0,negative,so far they have not really worked will not stick to the fabric of my jacket,15,2
All_Beauty,B005U5KU46,5.0,positive,i have tried several brands of shields and most do not stay attached all day / evening this purchase resulted in a great product that stayed put for as long as needed love them and am hoping that i receive an equally excellent product when i need to reorder,46,3
All_Beauty,B005U5KU46,1.0,negative,they do not stick well to the fabric bunch up not comfortable,12,4
All_Beauty,B005U5KU46,1.0,negative,it did not stick to the material of my shirts,10,5
All_Beauty,B005U5KU46,5.0,positive,my wife thinks that these things are great,8,6
All_Beauty,B005U5KU46,1.0,negative,thedoes not adhere to clothing very well it is basically pointless to use this product very disappointing indeed,19,7
All_Beauty,B005U5KU46,1.0,negative,these shields were too flimsy did not sick and bunched up will not purchase again,15,8
All_Beauty,B005U5KU46,4.0,positive,the shields are made to be more flexible so stayed on all day on my jacket i had a sleeveless top under so they protected my jacket well just be mindful when you take the jacket off / put it on i will continue to use these much improved from older versions that would come off,56,9
All_Beauty,B005U5KU46,5.0,positive,perfect for the victorian era ball now i do not have to wash the whole dress after every event,18,10
All_Beauty,B005U5KU46,2.0,negative,very hard to position not worth the hassle,8,11
All_Beauty,B005U5KU46,2.0,negative,theseems great but once i started sweating the sticker peeled off and started getting stuck to other places so they were no longer absorbing my armpit or any sweat it is kind of a give and take on the plus side the adhesive leaves no residue but on the negative side it is not strong enough to stay put with heavy sweating maybe a non-heavy sweater would have better luck,70,12
All_Beauty,B005U5KU46,5.0,positive,great product i used these for a series of interviews that i would not have time to have my suit cleaned between every interview they worked perfect to keep odors off of the jackets i used,35,13
All_Beauty,B005U5KU46,1.0,negative,i bought 3 brands of dress-shield and i tried these last these were thinner like the 2nd brand and i understand the manufacturer not wanting a bulky shield but when they are this thin they are useless people who buy these sweat and as such a paper thin shield is a waste of time money and embarrassment if you perspire avoid these if you just want to avoid deodorant marks on your clothes good enough,75,14
All_Beauty,B005U5KU46,4.0,positive,helped prevent stains but did tend to slip a little,10,15
All_Beauty,B005U5KU46,4.0,positive,i can see how these may not be the best for a shirt however they have saved me on dry-cleaning for my work blazers a nice blazer or jacket is expensive and it is awesome to get a few wears out of each during either a big client meeting or a hot spring / summer day these will be stocking stuffers over the holidays for sure,63,16
All_Beauty,B005U5KU46,2.0,negative,these are good in theory but they do not stick to my clothing,12,17
All_Beauty,B005U5KU46,1.0,negative,barely sticks to clothing ends up bunched and then unattached,10,18
All_Beauty,B005U5KU46,2.0,negative,the adhesive does not seem strong enough several pads either ended up migrating to another part of my shirt or just fell of altogether when i applied them to silkier fabrics on the plus side these pads are quite thin and quiet,41,19
All_Beauty,B005U5KU46,2.0,negative,it is not sticky and the material is poor,8,20
All_Beauty,B005U5KU46,4.0,positive,they did the job but part of the pads were sticking to my skin which bothered me at first then it was okay,23,21
All_Beauty,B005U5KU46,4.0,positive,I have only used this once it worked fine,8,22
All_Beauty,B005U5KU46,1.0,negative,i would not recommend this product very bad quality for the price i paid,14,23
All_Beauty,B005U5KU46,2.0,negative,greatbut held up poorly kept peeling off and sticking to my skin no bueno,16,24
All_Beauty,B005U5KU46,2.0,negative,great concept in theory but i find they do not fit well in blazers as I had intended to use them,18,25
All_Beauty,B005U5KU46,5.0,positive,these are perfect to protect your clothing from sweat and staining and odor i use these in blazers mostly they are perfect i will say that if you are sleeves are tight this shield will be difficult to apply / stay in place when you put the blazer on they are the perfect size for the underarm and you can not tell they are there these are must-haves for long work days,66,26
All_Beauty,B006H8X3JO,5.0,positive,i was very impressed i plan on ordering from them for all my tattoo supplies,15,0
All_Beauty,B006H8X3JO,4.0,positive,i really like my gun run 2 tattoos it is smooth will order another one,15,1
All_Beauty,B006H8X3JO,1.0,negative,when i got this it had a few problems including screws being stripped and i was not able to use it,21,2
All_Beauty,B006H8X3JO,1.0,negative,the power supply went out on me and never worked again,11,3
All_Beauty,B006H8X3JO,5.0,positive,excellent just got it and is nice five star well packaged also,12,4
All_Beauty,B006H8X3JO,5.0,positive,it is doing good so far i highly prefer to have my own kit because of prices of tattoos i love this,23,5
