category,prod_id,rating,polarity,review,review_len,review_id
AMAZON_FASHION,B001LFP0EO,2.0,negative,the bandit would not stay put at all how could it help my lower belly when it kept riding up to the smallest part of my waist it was really frustrating i still wore it for about 4 weeks but measured my lower tummy weekly and it was not getting any smaller so i finally gave up it also got this permanent fold in it that would not go away i suppose if you have zero curves and definitely no butt it might work but it did not work at all for me,88,0
AMAZON_FASHION,B001LFP0EO,5.0,positive,i am wearing my bandit now it made my belly get back to it is shape sooner by supporting weak muscles and pushing it it worked for me do measure yourself i have the xsmall even my clothing is xl,39,1
AMAZON_FASHION,B001LFP0EO,1.0,negative,i was so excited to get to order this while i was still pregnant and planned to use it from the day of birth thru 6 or 8 weeks i was quite disappointed when it was far from fitting me at the hospital i ordered a cheaper abdominal binder off amazon after a few days of the bb still not fitting me it was great 4 days later i was able to get in to the bb and i was excited to switch I have been wearing the bb for 3 days now and i am still quite disappointed in it it bunches and rides up my back making it completely noticable under even jeans and a tshirt it is incredibly uncomfortable more so than just squishing all my insides laughing out loud I am constantly pulling it down and almost have to re-do it every time i sit / stand up i will say that it does seem to be working with the squishing the belly back down but so did the much cheaper alternative and it was actually semi-comfortable i would definitely recommend the cheaper belt over this one to any of my friends,189,2
AMAZON_FASHION,B001LFP0EO,5.0,positive,i was very skeptical about purchasing this but since i needed results fast since i was a bridesmaid in a wedding 2 months post partum i thought i would try it after only one week of wearing this i was able to fit into a few pairs of pre pregnancy jeans and back in my pre pregnancy shirts i am not joking either this product did the job it claims to do it also provided excelent back and tummy support needed after delivering a baby i felt great it is also helping with my stretched out skin and stretch marks i can not say enough good about this product my only gripe is that it buckles and creases after wearing it 24/7 and after washing it does not uncrease oh well it still did it is job and i have confidence only one week post partum get it,144,3
AMAZON_FASHION,B001LFP0EO,1.0,negative,i ordered the xl in the belly bandit because that is the size i normally wear when not pregnant i am 510 and an athletic build with a larger bust i felt like i could not get the bandit tight enough to suck me in and it made me really hot i do not know if it is because the belly bandit uses velcro but i just did not feel it was effecient at what it was suppose to be doing i thought my spanx did a better job at holding me in than this and was easier to move around in i think i wore it twice and was over it wasted my money,112,4
AMAZON_FASHION,B001LFP0EO,4.0,positive,i bought 2 bandits one small and one xs i worn the small for the first 4 days after delivery 41 inch waist just before labour then i moved on to the xs after 9 days my stomach was flat it is now been 12 days since my baby was born and i have 2 inches to go to get back to my pre-pregnancy waist size 26 inches i found this product very comfortable to wear even to sleep in it is ok to wear under loser fitting clothes but shows under tight shirts,92,5
AMAZON_FASHION,B001LFP0EO,4.0,positive,i bought it for my sister and she loves it even thou i did not know much about these things but she mentions that it is a great product very soft not scratchy and make her feel very comfortable,38,6
AMAZON_FASHION,B001LFP0EO,2.0,negative,i bought this bandit in the hopes that i could wear it as described the box says to wear it day and night except to shower well it dug into my ribs when i was sitting up in bed nursing and it rolled up under my clothes so it became impractical to wear all the time eventually i just began to forget wearing it so i basically wasted 4500,69,7
AMAZON_FASHION,B001LFP0EO,2.0,negative,i want to love this product as i had such high hopes for it based on other reviews I have read however i have tried to use this for a few weeks now and it is just not made for tall women the band does not cover the area it needs to in order to be effective if i wear it low it gives me major back fat and if i wear it high my lower abdomen is completely uncovered i would not recommend if you are tall or have a long torso i am 510 fyi i did buy the correct size i checked it on their website and contacted their customer service department to be sure,113,8
AMAZON_FASHION,B001LFP0EO,1.0,negative,waste of money I am hourglass shape trying to get rid of the post baby belly budge and this thing just kept migrating to right under my boobs so uncomfortable how do they claim this is for an hourglass shape no way it is horrible sitting while wearing this only buy this if you have no hips,55,9
AMAZON_FASHION,B001LFP0EO,1.0,negative,extremely uncomfortable tried two different sizes but could not wear it for more than 10 minutes at a time it either pushes extra fat out the top or bottom and pinches when i try to sit impossible to nurse while wearing I shall just stick with the eating right / working out to lose the gut which appears to be working fine,58,10
AMAZON_FASHION,B001LFP0EO,1.0,negative,sizing on this is completely off does not fit at all did not gain any weight during my pregnancy and had my baby 14 weeks early and still did not fit into the size they said i would,36,11
AMAZON_FASHION,B001LFP0EO,1.0,negative,followed the sizing chart diligently and bought it for postpartum by the time it was time to put it on it was too small and i could not return or exchange it if you decide to buy this wait until a week after you give birth,45,12
