,category,prod_id,rating,polarity,review,review_len,review_id
390,All_Beauty,B016KGPK1Q,1.0,negative,either i received the wrongor they are knowingly sending out something completely different i received 3 gold pins with cheap white beads on them no flowers or leaves at all and the beads do not even look like the little ones in the picture either so I am getting a refund for this disappointment,54,0
391,All_Beauty,B016KGPK1Q,1.0,negative,when i ordered these the description said silver the ones i got were gold they have since changed the description still i was not happy,25,1
392,All_Beauty,B016KGPK1Q,4.0,positive,the gold on these pins is very yellowy gold i initially did not like theat all but they ended up being pretty in my hair so i wore them anyway for my wedding,34,2
393,All_Beauty,B016KGPK1Q,4.0,positive,bought it to wear in my hair for a wedding the pins looked very cute i wore 2 of them side by side so it looked more like a barrette and i gave the third piece to my younger sister so she could wear one as well the pins were nice and stayed on the whole day of the wedding great product for a good price,66,3
394,All_Beauty,B016KGPK1Q,4.0,positive,very cute but seemed a little cheap and the gold is a bright gold and not a dark gold overall it looked great and is reusable,26,4
395,All_Beauty,B016KGPK1Q,4.0,positive,I am actually pretty happy with these they are a very yellow gold which is the only thing I am not super thrilled with since the photos look more subdued and brassy but overall it is not a huge issue they still look so pretty i used them for my bridal portraits and they held up very well i plan to use them for my wedding now as well i do wish that the silver ones in the last photo were available to purchase as well but i could not find them anywhere,89,5
396,All_Beauty,B016KGPK1Q,1.0,negative,i was looking forward to these and in the silver / white version and instead i got this ugly yellow golddisappointed will not use these,25,6
397,All_Beauty,B016KGPK1Q,5.0,positive,i got these to match my jewelry and maid of honor and they were perfect i loved them and they stood out nicely against my blonde hair they stayed in really well throughout the night and i got multiple compliments on them,42,7
398,All_Beauty,B016KGPK1Q,5.0,positive,these hair pins were absolutely perfect for my wedding day during my trial my make-up artist recommended getting hair pins to bring out and add a little bit more texture to my hairstyle i bought these the week before my wedding and they ended up looking great with my up-do and against my dark hair we decided to just use 2 in my hair since having all three seemed to be a little excessive these hair pins were so inexpensive in comparison to other bridal hair pins and totally worth the cost i definitely recommend these for a bride on her big day,103,8
399,All_Beauty,B016KGPK1Q,1.0,negative,the metal had a cheap look to it did not end up wearing it,13,9
400,All_Beauty,B016KGPK1Q,4.0,positive,they are very beautiful and of good quality unfortunately i only received 2 out of the 3 pins the package looked like it had been returned overall beautiful,28,10
401,All_Beauty,B016KGPK1Q,2.0,negative,the gold is very cheap looking i wanted these for my wedding but they look bad,16,11
402,All_Beauty,B016KGPK1Q,5.0,positive,i ordered these for my wedding day and they worked great easily adjustable to perfect your look and such a nice but simple embellishment,24,12
403,All_Beauty,B016KGPK1Q,5.0,positive,the goldis very gold almost cartoonish gold but i have dark hair and the accentfor my wedding is gold so it will work out fine but it was a bit of a shock when i first saw it quality product,43,13
404,All_Beauty,B016KGPK1Q,1.0,negative,the gold reminded me of willy wonka gold,8,14
405,All_Beauty,B016KGPK1Q,5.0,positive,wore these for my wedding took forever to arrive but looked very nice,13,15
556,All_Beauty,B00NV6VGY4,1.0,negative,kinda cheap and i got an uglynot going to be getting anymore these are for toddlers,17,0
557,All_Beauty,B00NV6VGY4,4.0,positive,that i received was not listed but i still like it it took a long while to arrive but it was still cute when i received it there has a wire going through the cloth so you can manipulate it all you like and it stays on fairly well however beware that when the wire breaks you basically have to throw it out or remove the wire,66,1
558,All_Beauty,B00NV6VGY4,4.0,positive,love it i wish you could choose the colors although i received a polka dot black and white and polka dot teal and white,24,2
559,All_Beauty,B00NV6VGY4,1.0,negative,this is cheap and a waste of money,8,3
560,All_Beauty,B00NV6VGY4,4.0,positive,this is nice i just wish i could choose the colors,11,4
561,All_Beauty,B00NV6VGY4,4.0,positive,really cute but was a different material than i expected it to be i think it is satin,17,5
562,All_Beauty,B00NV6VGY4,1.0,negative,you are only going to receive one and it most likely will not be alisted not worth the money,21,6
563,All_Beauty,B00NV6VGY4,5.0,positive,it is a bendable wire inside a cloth material that is very thin but it looks really cute and exactly like the pictures material is not the highest quality but is exactly what it is supposed to be,36,7
564,All_Beauty,B00NV6VGY4,2.0,negative,i got some ugly funkyand while it looks cute on me it is really small i have a rather big head and so it does not reach all the way and the bow looks miniature instead of big like on the model it is also made of cheap wire so be careful with it,53,8
565,All_Beauty,B00NV6VGY4,1.0,negative,I am very disappoined i ordered 4 headbands and received three of the same material what am i going to do with three of the exact same headband,27,9
566,All_Beauty,B00NV6VGY4,5.0,positive,it came a lot earlier than expected i just wish i could have chosen theof headband,17,10
567,All_Beauty,B00NV6VGY4,4.0,positive,it is okay for the price got it sooner then expected wire started to poke out as soon as i put it on but easy to fix wish i could pick thebut i still love the one i got it is tan with orange dots,46,11
568,All_Beauty,B00NV6VGY4,1.0,negative,do not like it at all from the looks of the pic it was suppose to be one of the denim headbands and i received a light pink polka dot one i have no use for it,37,12
569,All_Beauty,B00NV6VGY4,4.0,positive,very cute but i do wish i could have chose the,11,13
570,All_Beauty,B00NV6VGY4,5.0,positive,this is perfect for my daughter she loves to collect this kind of headbands and she has so happy,18,14
571,All_Beauty,B00NV6VGY4,5.0,positive,this is a really nice headband to use whenever I am washing make make-up before going to sleep,17,15
572,All_Beauty,B00NV6VGY4,5.0,positive,bought for my daughter she mentioned that they were fantastic and she really liked them the designs were girly and fit her style i find them pretty too,28,16
573,All_Beauty,B00NV6VGY4,5.0,positive,it came quickly and works great i got one that was cream with dark pink polka dots,17,17
574,All_Beauty,B00NV6VGY4,1.0,negative,all I shall say about this is i believe it is meant for kids not adults,15,18
