category,prod_id,rating,polarity,review,review_len,review_id
AMAZON_FASHION,B001LFP0EO,2.0,negative,"The bandit wouldn't stay put...at all.  How could it help my lower belly when it kept riding up to the smallest part of my waist?!  It was really frustrating.  I still wore it for about 4 weeks but measured my lower tummy weekly and it wasn't getting any smaller so I finally gave up.  It also got this permanent fold in it that wouldn't go away.  I suppose if you have zero curves (and definitely no butt), it might work but it didn't work at all for me.",88,0
AMAZON_FASHION,B001LFP0EO,5.0,positive,I am wearing my Bandit now. It made my belly get back to its shape sooner by supporting weak muscles and pushing it. It worked for me. Do measure yourself. I have the Xsmall even my clothing is XL.,39,1
AMAZON_FASHION,B001LFP0EO,1.0,negative,"i was so excited to get to order this while i was still pregnant, and planned to use it from the day of birth thru 6 or 8 weeks.  i was QUITE disappointed when it was FAR from fitting me at the hospital.  i ordered a cheaper abdominal binder off amazon after a few days of the BB still not fitting me.  it was great- 4 days later i was able to get in to the BB and i was excited to switch.  i've been wearing the BB for 3 days now and i am still quite disappointed in it.  it bunches and rides up my back (making it completely noticable under even jeans and a tshirt), its incredibly uncomfortable (more so than just squishing all my insides LOL), i'm constantly pulling it down and almost have to re-do it every time i sit/stand up.  i will say that it does seem to be working w/ the squishing the belly back down, but so did the much cheaper alternative (and it was actually semi-comfortable).  i would definitely recommend the cheaper belt over this one to any of my friends.",189,2
AMAZON_FASHION,B001LFP0EO,5.0,positive,"I was very skeptical about purchasing this but since I needed results fast since I was a bridesmaid in a wedding 2 months post partum, I thought I would try it!

After only ONE week of wearing this, I was able to fit into a few pairs of pre pregnancy jeans and back in my pre pregnancy shirts!  I am not joking either!  This product did the job it claims to do!!!  It also provided excelent back and tummy support needed after delivering a baby, I felt great!  It is also helping with my stretched out skin and stretch marks.  I cannot say enough good about this product! My only gripe is that it buckles and creases after wearing it 24/7 and after washing, it doesnt uncrease...oh well.  It still did its job and I have confidence only one week post partum!!!  GET IT!",144,3
AMAZON_FASHION,B001LFP0EO,1.0,negative,"I ordered the XL in the Belly Bandit because that is the size I normally wear when not pregnant. I am 5'10"" and an athletic build with a larger bust. I felt like I couldn't get the Bandit tight enough to suck me in and it made me really hot. I don't know if it is because the Belly bandit uses velcro but I just didn't feel it was effecient at what it was suppose to be doing. I thought my spanx did a better job at holding me in than this and was easier to move around in. I think I wore it twice and was over it. Wasted my money!",112,4
AMAZON_FASHION,B001LFP0EO,4.0,positive,"I bought 2 bandits, one small & one xs, I worn the small for the first 4 days after delivery (41 inch waist just before labour) then I moved on to the xs, after 9 days my stomach was flat. It's now been 12 days since my baby was born & i have 2 inches to go to get back to my pre-pregnancy waist size (26 inches). I found this product very comfortable to wear (even to sleep in) it's ok to wear under loser fitting clothes but shows under tight shirts.",92,5
AMAZON_FASHION,B001LFP0EO,4.0,positive,"I bought it for my sister and she loves it... Even thou I didn't know much about these things... But she mentions that it is a great product, very soft, not scratchy and make her feel very comfortable.",38,6
AMAZON_FASHION,B001LFP0EO,2.0,negative,"I bought this bandit in the hopes that I could wear it as described.  The box says to wear it day and night, except to shower.  Well, it dug into my ribs when I was sitting up in bed nursing, and it rolled up under my clothes, so it became impractical to wear all the time.  Eventually, I just began to forget wearing it, so I basically wasted $45.00.",69,7
AMAZON_FASHION,B001LFP0EO,2.0,negative,"I want to love this product as I had such high hopes for it based on other reviews Ive read however I have tried to use this for a few weeks now and its just not made for tall women.

The band doesnt cover the area it needs to in order to be effective. If I wear it low It gives me major back fat and if I wear it high my lower abdomen is completely uncovered.

I wouldnt recommend if you're tall or have a long torso. I am 510.

FYI I did buy the correct size. I checked it on their website and contacted their customer service department to be sure.",113,8
AMAZON_FASHION,B001LFP0EO,1.0,negative,"Waste of money. Im hourglass shape trying to get rid of the post baby belly budge and this thing just kept Migrating to right under my boobs. So uncomfortable.
How do they claim this is for an hourglass shape??? No way. Its horrible sitting while wearing this. Only buy this if you have no hips.",55,9
AMAZON_FASHION,B001LFP0EO,1.0,negative,"Extremely uncomfortable. Tried two different sizes but couldn't wear it for more than 10 minutes at a time. It either pushes extra fat out the top or bottom, and pinches when I try to sit. Impossible to nurse while wearing. I'll just stick with the eating right/working out to lose the gut, which appears to be working fine.",58,10
AMAZON_FASHION,B001LFP0EO,1.0,negative,Sizing on this is completely off. Doesnt fit at all. Didnt gain any weight during my pregnancy and had my baby 14 weeks early and still didn't fit into the size they said I would :(,36,11
AMAZON_FASHION,B001LFP0EO,1.0,negative,followed the sizing chart diligently and bought it for postpartum.  by the time it was time to put it on it was too small and i couldn't return or exchange it.  if you decide to buy this wait until a week after you give birth,45,12
AMAZON_FASHION,B001LFP0EO,4.0,positive,"I originally purchased this item in a size small but come to find out only after 24 hours I really needed a size Extra Small. I really love the results I'm getting from this product but there are a few things about it that are a bit annoying. The material is nice and firm which makes the product really have great results but as your waist is smaller than your rib cage area and hips, the band will fold. Once it folds it has a permanent fold in the band. Every time you wear it this fold will be present which causes the band to slide up in the back above the butt. I continue to wear it but I am constantly pulling it down in the back and it will immediately move right back up. My waist line is great just 4 weeks after childbirth, I give a lot of credit to this product and breastfeeding, but there are just a few annoyances you will have to deal with. FYI I wore this 24/7 except for when I showered.",180,13
