category,prod_id,rating,polarity,review,review_len,review_id
All_Beauty,B005U5KU46,5.0,positive,"These are very thin, pull off easily without residue (rare!). The only odd thing about these is that on the crease, it actually had cut out slits along it, so technically a person could sweat through those slit openings on the crease of their jacket/shirts.",45,0
All_Beauty,B005U5KU46,1.0,negative,"sweat went right thought within almost 2 hrs of wearing it, not the best",14,1
All_Beauty,B005U5KU46,2.0,negative,So far they haven't really worked - won't stick to the fabric of my jacket.,15,2
All_Beauty,B005U5KU46,5.0,positive,"I have tried several brands of shields, and most don't stay attached all day/evening. This purchase resulted in a great product that stayed put for as long as needed.  Love them and am hoping that I receive an equally excellent product when I need to reorder!",46,3
All_Beauty,B005U5KU46,1.0,negative,"They do not stick well to the fabric. Bunch up, not comfortable.",12,4
All_Beauty,B005U5KU46,1.0,negative,It did not stick to the material of my shirts,10,5
All_Beauty,B005U5KU46,5.0,positive,My wife thinks that these things are great.,8,6
All_Beauty,B005U5KU46,1.0,negative,The item does not adhere  to clothing very well. It's basically pointless to use this product. Very disappointing indeed.,19,7
All_Beauty,B005U5KU46,1.0,negative,These shields were too flimsy. Did not sick and bunched up. Will not purchase again.,15,8
All_Beauty,B005U5KU46,4.0,positive,The shields are made to be more flexible so stayed on all day on my jacket - I had a sleeveless top under so they protected my jacket well.  just be mindful when you take the jacket off/put it on.  I will continue to use these - much improved from older versions that would come off.,56,9
All_Beauty,B005U5KU46,5.0,positive,Perfect for the Victorian Era Ball.  Now I don't have to wash the whole dress after every event.,18,10
All_Beauty,B005U5KU46,2.0,negative,Very hard to position. Not worth the hassle.,8,11
All_Beauty,B005U5KU46,2.0,negative,"The idea seems great but once I started sweating the sticker peeled off and started getting stuck to other places so they were no longer absorbing my armpit or any sweat.

It's kind of a give and take, on the plus side the adhesive leaves no residue but on the negative side its not strong enough to stay put with heavy sweating.

Maybe a non-heavy sweater would have better luck.",70,12
All_Beauty,B005U5KU46,5.0,positive,Great product!  I used these for a series of interviews that I wouldn't have time to have my suit cleaned between every interview.  They worked perfect to keep odors off of the jackets i used.,35,13
All_Beauty,B005U5KU46,1.0,negative,"I bought 3 brands of dress-shield and I tried these last. These were thinner (like the 2nd brand) and I understand the manufacturer not wanting a bulky shield but when they are this thin, they are useless!!!!!!!!! People who buy these, sweat and as such a paper thin shield is a waste of time, money and  embarrassment. If you perspire, avoid these. If you just want to avoid deodorant marks on your clothes, good enough!",75,14
All_Beauty,B005U5KU46,4.0,positive,"Helped prevent stains, but did tend to slip a little.",10,15
All_Beauty,B005U5KU46,4.0,positive,"I can see how these may not be the best for a shirt. However, they've saved me $$$ on dry-cleaning for my work blazers. A nice blazer or jacket is expensive and it's awesome to get a few wears out of each during EITHER a big client meeting or a hot spring/summer day. These will be stocking stuffers over the holidays for sure.",63,16
All_Beauty,B005U5KU46,2.0,negative,"These are good in theory, but they don't stick to my clothing.",12,17
All_Beauty,B005U5KU46,1.0,negative,"barely sticks to clothing, ends up bunched and then unattached",10,18
All_Beauty,B005U5KU46,2.0,negative,"The adhesive doesn't seem strong enough. Several pads either ended up migrating to another part of my shirt or just fell of altogether when I applied them to silkier fabrics. On the plus side, these pads are quite thin and quiet.",41,19
All_Beauty,B005U5KU46,2.0,negative,It's not sticky and the material is poor.,8,20
All_Beauty,B005U5KU46,4.0,positive,They did the job but part of the pads were sticking to my skin which bothered me at first then it was okay.,23,21
All_Beauty,B005U5KU46,4.0,positive,I've only used this once. It worked fine.,8,22
All_Beauty,B005U5KU46,1.0,negative,I would not recommend this product. very bad quality for the price I paid.,14,23
All_Beauty,B005U5KU46,2.0,negative,"Great idea, but held up poorly. Kept peeling off and sticking to my skin. No bueno.",16,24
All_Beauty,B005U5KU46,2.0,negative,"Great concept, in theory...but I find they don't fit well in blazers (as I'd intended to use them).",18,25
All_Beauty,B005U5KU46,5.0,positive,"These are perfect to protect your clothing from sweat and staining and odor. I use these in blazers mostly. They're perfect! I will say that if you're sleeves are tight, this shield will be difficult to apply/stay in place when you put the blazer on. They are the perfect size for the underarm and you can't tell they're there. These are must-haves for long work days.",66,26
All_Beauty,B006H8X3JO,5.0,positive,I was very impressed. I plan on ordering from them for all my tattoo supplies.,15,0
All_Beauty,B006H8X3JO,4.0,positive,I really like my gun. Run 2 tattoos it is smooth will order another one,15,1
All_Beauty,B006H8X3JO,1.0,negative,When i got this it had a few problems. Including screws being stripped and i was not able to use it.,21,2
All_Beauty,B006H8X3JO,1.0,negative,The power supply went out on me and never worked again.,11,3
